banda,data,local,link_ingresso,logo_url
Sicknot na Casa Lab,2026-09-13,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/sicknot-casalab,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196797/scraper/production/21845.jpg"
RANCORE,2026-09-13,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32684/rancore,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196899/scraper/production/21903.jpg"
Charles Edward apresenta: Double You,2026-09-18,Bar Charles Edward - São Paulo,https://www.clubedoingresso.com/evento/charlesedwarddoubleyou,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786507260/scraper/production/21940.jpg"
MY CHEMICAL ROMANCE (Cover Brasil) + GREEN DAY (Greeners Day) + BLINK 182 (Cover Brasil),2026-09-19,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/mychemicalromance-greenday-blink182,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786766468/scraper/production/22035.jpg"
4 Anos da Banda Pulsos na Casa Lab,2026-09-19,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/4anos-bandapulsos-casalab,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196801/scraper/production/21846.jpg"
Nicotine Dolls,2026-09-19,Cine Joia - São Paulo,https://fastix.com.br/api/events/nicotine-dolls-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777089761/scraper/production/20607.jpg"
Elton John Diamonds,2026-09-19,Teatro Jardim Sul - São Paulo,https://www.sympla.com.br/evento/elton-john-diamonds/3409294,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777781141/scraper/production/20845.jpg"
Helloween,2026-09-19,Suhai Music Hall - São Paulo,https://www.eventim.com.br/artist/helloween/,a confirmar
Landmvrks Latin America Tour 2026,2026-09-20,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/landmvrks-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1776571400/scraper/production/20420.jpg"
Pholhas - 57 Anos de Sucesso,2026-09-20,Clube Piratininga - São Paulo,https://www.clubedoingresso.com/evento/pholhas-57anosdesucesso,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196806/scraper/production/21848.jpg"
Vitória Rock Fest 2026,2026-09-20,Club RC - São Paulo (VERIFICAR: endereço extraído aponta para Copacabana/RJ),https://www.sympla.com.br/evento/vitoria-rock-fest-2026/3450992,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780459364/scraper/production/21544.jpg"
SAMIAM (EUA) + Garage Fuzz,2026-09-25,Hangar 110 - São Paulo,https://fastix.com.br/api/events/samiam-eua-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780977775/scraper/production/21682.jpg"
Gravação Oficial do DVD - 5 Anos da Banda Totten,2026-09-25,Bar Charles Edward - São Paulo,https://www.clubedoingresso.com/evento/gravacaooficialdodvd-5anosbandatotten,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196804/scraper/production/21847.jpg"
Paramore – Emotour Experience no FFFront,2026-09-25,FFFront - São Paulo,https://www.clubedoingresso.com/evento/paramoreemotourexperience,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196808/scraper/production/21849.jpg"
Michale Graves - Acústico,2026-09-26,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/michalegravesacustico,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1780372947/scraper/production/21508.jpg"
DIO (Heaven And Hell),2026-09-26,Rooftop Galeria do Rock - São Paulo,https://www.clubedoingresso.com/evento/dio,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786766471/scraper/production/22036.jpg"
Petra & Whitecross,2026-09-26,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/petraewhitecross-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1769054538/scraper/production/17665.jpg"
Anette Olzon & Orquestra em São Paulo,2026-09-26,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/anette-olzon-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1761192085/scraper/production/16406.jpg"
Old Man's Child,2026-09-26,Burning House - São Paulo,https://101tickets.com.br/events/details/Old-Man-s-Child-em-Sao-Paulo-26-09,a confirmar
Woodstock 2026,2026-09-27,Refúgio Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/woodstock2026,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786248054/scraper/production/21907.jpg"
25 Anos Banda Manerada – Celebração Especial no Deck Bar,2026-09-27,Deck Bar São Paulo,https://www.clubedoingresso.com/evento/manerada-deckbar,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786593667/scraper/production/21971.jpg"
Meet & Greet Angra,2026-10-02,Tokio Marine Hall - São Paulo,https://www.clubedoingresso.com/evento/meetandgreet-angra-tokiomarinehall-02-10,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778644937/scraper/production/21068.jpg"
These Days - Bon Jovi Cover,2026-10-02,Bar Charles Edward - São Paulo,https://www.clubedoingresso.com/evento/charlesedwardthesedaysbonjovicover,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1787025645/scraper/production/22069.jpg"
Meet & Greet Angra,2026-10-03,Tokio Marine Hall - São Paulo,https://www.clubedoingresso.com/evento/meetandgreet-angra-tokiomarinehall-03-10,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778644937/scraper/production/21069.jpg"
Babilônia Rita Lee Tributo,2026-10-03,Teatro Jardim Sul - São Paulo,https://www.sympla.com.br/evento/babilonia-rita-lee-tributo/3409334,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777781143/scraper/production/20846.jpg"
Sonata Arctica - 30th Anniversary Tour,2026-10-03,Audio - São Paulo,https://www.clubedoingresso.com/evento/sonataarctica,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1771646597/scraper/production/18383.jpg"
A Flock of Seagulls,2026-10-07,Cine Joia - São Paulo,https://fastix.com.br/api/events/a-flock-of-seagulls-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778040167/scraper/production/20913.jpg"
Fabio Lione & Orquestra em São Paulo - Sessão Extra,2026-10-10,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/fabiolioneeorchestra-saopaulo-sessaoextra,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777003360/scraper/production/20584.jpg"
Fabio Lione & Orquestra em São Paulo,2026-10-10,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/fabiolioneeorchestra-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1/scraper/production/18055.jpg"
Black Label Society - São Paulo,2026-10-10,Terra SP - São Paulo,https://www.clubedoingresso.com/evento/blacklabelsociety-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779336137/scraper/production/21251.jpg"
Untune Fest II,2026-10-11,Casa Lab - São Paulo,https://www.clubedoingresso.com/evento/untunefestiicasalab11-10,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786593674/scraper/production/21972.jpg"
Dregen do Backyard Babies e The Hellacopters,2026-10-11,Manifesto Rock Bar - São Paulo,https://www.clubedoingresso.com/evento/dregendobackyardbabies-thehellacopters,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778558530/scraper/production/21040.jpg"
El Mato a un Policia Motorizado,2026-10-11,Cine Joia - São Paulo,https://fastix.com.br/api/events/el-mato-a-un-policia-motorizado-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1781150539/scraper/production/21735.jpg"
Zakk Sabbath no Carioca Club,2026-10-11,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/zakksabbath-cariocaclub,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779336133/scraper/production/21246.jpg"
Black Label Society - São Paulo,2026-10-11,Terra SP - São Paulo,https://www.clubedoingresso.com/evento/blacklabelsociety-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779336138/scraper/production/21253.jpg"
Black Label Society - São Paulo,2026-10-13,Terra SP - São Paulo,https://www.clubedoingresso.com/evento/blacklabelsociety-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779336139/scraper/production/21254.jpg"
Black Label Society - São Paulo,2026-10-15,Terra SP - São Paulo,https://www.clubedoingresso.com/evento/blacklabelsociety-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779336139/scraper/production/21256.jpg"
Festival Hardcore São Paulo 2026,2026-10-16,"R. Riachuelo, 194 - Sé - São Paulo",https://fastix.com.br/api/events/festival-hardcore-sao-paulo-2026/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1775707370/scraper/production/20062.jpg"
Apocalyptica em São Paulo,2026-10-16,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/apocalyptica-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779422543/scraper/production/21293.jpg"
The Gathering,2026-10-16,Audio - São Paulo,https://www.ticket360.com.br/evento/31662/ingressos-para-the-gathering-in-concert,a confirmar
After Forever,2026-10-16,Tokio Marine Hall - São Paulo,https://www.ticketmaster.com.br/event/after-forever-tokio-marine-hall,a confirmar
Mortiis,2026-10-16,La Iglesia - São Paulo,https://101tickets.com.br/events/details/Mortiis-em-Sao-Paulo-16-10-2026,a confirmar
Hellbutcher em São Paulo,2026-10-17,Fabrique Club - São Paulo,https://www.clubedoingresso.com/evento/hellbutcher-fabriqueclub,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196826/scraper/production/21852.jpg"
Black Label Society - São Paulo,2026-10-17,Terra SP - São Paulo,https://www.clubedoingresso.com/evento/blacklabelsociety-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1779336140/scraper/production/21259.jpg"
Hybrid Theory – Tour Brasil 2026,2026-10-17,Audio - São Paulo,https://www.clubedoingresso.com/evento/hybridtheory2026-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1774670595/scraper/production/19660.jpg"
Between the Buried and Me,2026-10-17,Hangar 110 - São Paulo,https://fastix.com.br/api/events/between-the-buried-and-me-eua-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1775707340/scraper/production/20053.jpg"
Festival Hardcore São Paulo 2026,2026-10-17,"R. Riachuelo, 194 - Sé - São Paulo",https://fastix.com.br/api/events/festival-hardcore-sao-paulo-2026/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1775707375/scraper/production/20063.jpg"
Roy Khan - The Black Halo and Beyond,2026-10-17,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/roykhan-theblackhaloandbeyond,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778385782/scraper/production/21019.jpg"
Renato e Seus Blue Caps,2026-10-18,Clube Piratininga - São Paulo,https://www.clubedoingresso.com/evento/renatoeseusbluecaps-clubepiratininga,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196830/scraper/production/21856.jpg"
