banda,data,local,link_ingresso,logo_url
Militarie Gun,2026-11-29,Hangar 110 - São Paulo,https://fastix.com.br/api/events/militarie-gun-eua-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196889/scraper/production/21896.jpg"
Bruno Sutter Executa Iron Maiden! Comemorando 50 Anos da Banda,2026-12-04,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/brunosutter-ironmaiden-comemorando50anosdabanda,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778817757/scraper/production/21142.jpg"
Bride em São Paulo,2026-12-05,Burning House - São Paulo,https://www.clubedoingresso.com/evento/bride-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1/scraper/production/20961.jpg"
Mukeka Di Rato,2026-12-05,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32797/mukeka-di-rato,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196895/scraper/production/21900.jpg"
Tarja Turunen - The Spirit of Christmas,2026-12-05,Terra SP - São Paulo,https://www.clubedoingresso.com/evento/tarjaturunen,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1771473742/scraper/production/18276.jpg"
Primavera Sound São Paulo 2026 (5 a 6/dez),2026-12-05,Autódromo de Interlagos - São Paulo,a confirmar (ingressos em breve),a confirmar
Deep Purple,2026-12-05,Suhai Music Hall - São Paulo,https://app.cse360.com.br/www.eventim.com.br/deep-purple,a confirmar
Testament em São Paulo,2026-12-06,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/testament-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778299381/scraper/production/20994.jpg"
Youth of Today,2026-12-12,Fabrique Club - São Paulo,https://fastix.com.br/api/events/youth-of-today-eua-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777348931/scraper/production/20697.jpg"
Liberation Festival 2026,2026-12-12,Vibra - São Paulo,https://www.clubedoingresso.com/evento/liberationfest2026,a confirmar
Verão Caos - 2ª Edição,2026-12-13,Hangar 110 - São Paulo,https://pixelticket.com.br/eventos/32403/verao-caos-2-edicao,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1781150541/scraper/production/21739.jpg"
Slayer,2026-12-17,Allianz Parque - São Paulo,https://www.livepass.com.br/,a confirmar
Avatar em São Paulo,2027-01-10,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/avatar-cariocaclub,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786507260/scraper/production/21939.jpg"
Dio Symphonic Tribute,2027-01-16,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/diosymphonictribute-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196850/scraper/production/21867.jpg"
The Symphony of Expedition 33 em São Paulo - Sessão Extra 17h00,2027-01-23,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/thesymphonyofexpedition33-saopauloextra,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1778126545/scraper/production/20942.jpg"
The Symphony of Expedition 33 em São Paulo,2027-01-23,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/thesymphonyofexpedition33-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1777435341/scraper/production/20724.jpg"
Alcest,2027-02-20,Carioca Club Pinheiros - São Paulo,https://www.clubedoingresso.com/evento/alcestemsaopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196851/scraper/production/21869.jpg"
Mortification em São Paulo,2027-02-20,Burning House - São Paulo,https://www.clubedoingresso.com/evento/mortification-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1776917110/scraper/production/20546.jpg"
Buffalo Tom,2027-02-25,Cine Joia - São Paulo,https://fastix.com.br/api/events/buffalo-tom-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1773461017/scraper/production/19166.jpg"
Buffalo Tom,2027-02-27,Cine Joia - São Paulo,https://fastix.com.br/api/events/buffalo-tom-em-sao-paulo/details,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1773461018/scraper/production/19168.jpg"
Eleine em São Paulo,2027-02-28,Hangar 110 - São Paulo,https://www.clubedoingresso.com/evento/eleine-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786248052/scraper/production/21905.jpg"
King Diamond Symphonic Tribute,2027-03-20,Teatro APCD - São Paulo,https://www.clubedoingresso.com/evento/kingdiamondsymphonictribute-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786248052/scraper/production/21906.jpg"
Hybrid Theory – Tour Brasil 2027 - São Paulo,2027-04-02,Audio - São Paulo,https://www.clubedoingresso.com/evento/hybridtheory2027-saopaulo,"http://res.cloudinary.com/carlosep/image/upload/q_auto,f_auto,w_800,c_scale/v1786196856/scraper/production/21870.jpg"
